lat,lon,year,subregion,country,cause,route,origin,toll
13.8197751,-89.2587345,2017,Centroamérica,El Salvador,Accidente de transporte,Sin ruta registrada,Honduras,1
32.170217,-112.376717,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
31.9442,-113.018383,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
32.39057,-113.115,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
26.0525676,-98.3662434,2017,Centroamérica,Mexico,Ahogamiento,Frontera EE.UU.-México,Peru,2
16.3206382,-95.2577001,2017,Centroamérica,Mexico,Accidente de transporte,Sin ruta registrada,Honduras,1
32.01978,-112.15991,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.0297523,-98.29682891,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
25.4303723,-101.0537851,2017,Centroamérica,Mexico,Accidente de transporte,Sin ruta registrada,Honduras,1
16.1214346,-92.0618762,2017,Centroamérica,Mexico,Accidente de transporte,Sin ruta registrada,El Salvador,1
17.8336386,-93.9362737,2017,Centroamérica,Mexico,Violencia,Sin ruta registrada,Honduras,1
18.1346253,-94.4979664,2017,Centroamérica,Mexico,Violencia,Sin ruta registrada,Honduras,2
31.70533,-112.00406,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
17.827772,-93.4087205,2017,Centroamérica,Mexico,Violencia,Sin ruta registrada,Honduras,1
20.4628344,-103.4530629,2017,Centroamérica,Mexico,Mixta o desconocida,Sin ruta registrada,Desconocido,1
33.382683,-112.254217,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
26.0525676,-98.3662434,2017,Centroamérica,Mexico,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
27.4531416,-99.6148525,2017,Centroamérica,Mexico,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
26.0713913,-108.7840381,2017,Centroamérica,Mexico,Ahogamiento,Sin ruta registrada,Mexico,1
26.06898199,-108.78504661,2017,Centroamérica,Mexico,Accidente de transporte,Sin ruta registrada,Desconocido,1
19.9806027,-99.1847128,2017,Centroamérica,Mexico,Accidente de transporte,Sin ruta registrada,Desconocido,1
27.08054477,-98.19030762,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
17.9473795,-93.6800339,2017,Centroamérica,Mexico,Accidente de transporte,Sin ruta registrada,Honduras,1
26.0525676,-98.3662434,2017,Centroamérica,Mexico,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
26.24398248,-98.55774029,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
26.5758125,-98.0838125,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
31.79776,-112.12161,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.09277144,-98.09280396,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.4565378,-99.5698487,2017,Centroamérica,Mexico,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
26.5634143,-99.2378544,2017,Centroamérica,Mexico,Ahogamiento,Frontera EE.UU.-México,Honduras,1
25.8487649,-97.5613236,2017,Centroamérica,Mexico,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
26.196888,-98.4066512,2017,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
32.2623,-111.57253,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
32.34637,-113.11729,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Honduras,1
31.9758,-112.988183,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
18.4753002,-68.2693061,2017,Caribe,Dominican Republic,Ahogamiento,Rep. Dominicana a Puerto Rico,Desconocido,8
26.0669181,-108.7904701,2017,Centroamérica,Mexico,Accidente de transporte,Sin ruta registrada,Desconocido,1
27.4565378,-99.5698487,2017,Centroamérica,Mexico,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
27.478185,-99.480441,2017,Centroamérica,Mexico,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
32.328767,-113.118367,2017,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
26.71749178,-108.44393939,2017,Centroamérica,Mexico,Accidente de transporte,Sin ruta registrada,Desconocido,1
20.4660351,-97.258777,2017,Centroamérica,Mexico,Accidente de transporte,Sin ruta registrada,El Salvador,2
